TIME TABLE FOR Spring 2019 SEMESTER [CS Department] <V1.8>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Periods,,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,10,20,30,40,50,60,30
Days,Room,8:00 a.m.,,,,,,,,,9:30am,,,,,,,,,11:00 a.m.,,,,,,,,,12:30pm,,,,,,,,,2:00 p.m.,,,,,,,,,3:30pm,,,,,,,,,5:00 p.m.,,,,,,,,,6:30pm,,,,,,,,,8:00 p.m.,,,,,,7:00 p.m.,,,,,,8:00 p.m.,,,7:00 p.m.,,,,,,8:00 p.m.
Monday,CS-1,Machine Learning (MS-DS),,,,,,,,,Advanced Programming (CS),,,,,,,,,Computational Intelligence (MS),,,,,,,,,Data Sceince (MS),,,,,,,,,--------------------------------------------,,,,,,,,,________________________________,,,,,,,,,Design Pattern (MS-SPM),,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-2,______________________,,,,,,,,,________________________,,,,,,,,,Software Testing (CS-A),,,,,,,,,Human Computer Interaction (CS-F),,,,,,,,,Human Computer Interaction (CS-C),,,,,,,,,_______________________________,,,,,,,,,Research Meeting – Dr. Zeeshan Ali Rana,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-3,Technical & Business Writing (CS-C),,,,,,,,,Numerical Methods (CS-B),,,,,,,,,Computer Architecture (CS-B),,,,,,,,,Numerical Methods (CS-A),,,,,,,,,Computer Architecture (CS-A),,,,,,,,,Differential Equations (Cal II) (CS-F),,,,,,,,,______________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-4,______________________,,,,,,,,,________________________,,,,,,,,,_________________________,,,,,,,,,Software for Mobile Devices (CS-A),,,,,,,,,_____________________________,,,,,,,,,Software for Mobile Devices (CS-B),,,,,,,,,_______________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-5,Mass Communication (CS),,,,,,,,,________________________,,,,,,,,,_________________________,,,,,,,,,Comp. Org. & Assembly L. (CS-C),,,,,,,,,_____________________________,,,,,,,,,Pakistan Studies (CS-B),,,,,,,,,______________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-6,Applied Physics (CS-H),,,,,,,,,Applied Physics (CS-G),,,,,,,,,Calculus and Ana. Geometry (CS-G),,,,,,,,,Calculus and Ana. Geometry (CS-H),,,,,,,,,____________________________,,,,,,,,,______________________________,,,,,,,,,____________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-7,Professional Issues in IT (CS-A),,,,,,,,,Professional Issues in IT (CS-B),,,,,,,,,Comp. Org. & Assembly L. (CS-A),,,,,,,,,Comp. Org. & Assembly L. (CS-B),,,,,,,,,French Language (CS-A),,,,,,,,,French Language (CS-B),,,,,,,,,___________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-8,Numerical Methods (CS-C),,,,,,,,,_________________________,,,,,,,,,Design & Analysis of Algorithms (CS-C),,,,,,,,,Design & Analysis of Algorithms (CS-D),,,,,,,,,Sociology (CS-B),,,,,,,,,Sociology (CS-A),,,,,,,,,_______________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-9,Total Quality Management (CS),,,,,,,,,Database Systems (CS-A),,,,,,,,,Database Systems (CS-B),,,,,,,,,Design & Analysis of Algorithms (CS-E),,,,,,,,,Network Security (CS),,,,,,,,,Database Systems (CS-E),,,,,,,,,______________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-10,Digital Logic Design (CS-B) ,,,,,,,,,Database Systems (CS-C),,,,,,,,,Database Systems (CS-D),,,,,,,,,Fundamental of Computer Vision (CS-B),,,,,,,,,____________________________,,,,,,,,,Fundamental of Computer Vision (CS-A),,,,,,,,,____________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-11,Software for Mobile Devices (CS-D),,,,,,,,,Software for Mobile Devices (CS-C),,,,,,,,,Object Oriented  Analysis & Design (CS-A),,,,,,,,,________________________________,,,,,,,,,Object Oriented  Analysis & Design (CS-B),,,,,,,,,Differential Equations (CS-C),,,,,,,,,___________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-15,Arabic Language (CS),,,,,,,,,Digital Logic Design (CS-A) ,,,,,,,,,Digital Logic Design (CS-C) ,,,,,,,,,Differential Equations (CS-A),,,,,,,,,Psychology (CS),,,,,,,,,Differential Equations (CS-B),,,,,,,,,_______________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-16,Technical & Business Writing (CS-A),,,,,,,,,Technical & Business Writing (CS-F),,,,,,,,,Communication & Presentation Skills   (CS-B1),,,,,,,,,__________________________________,,,,,,,,,Communication & Presentation Skills   (CS-A1),,,,,,,,,______________________________,,,,,,,,,______________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seminar Hall,Programming Fundamentals (CS-I),,,,,,,,,_____________________________,,,,,,,,,Communication & Presentation Skills   (CS-B2),,,,,,,,,_________________________________,,,,,,,,,Communication & Presentation Skills   (CS-A2),,,,,,,,,_______________________________,,,,,,,,,____________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-2,__________________________,,,,,,,,,Theory of Automata (CS-A),,,,,,,,,Theory of Automata (CS-B),,,,,,,,,__________________________________,,,,,,,,,_____________________________________,,,,,,,,,______________________________,,,,,,,,,___________________________,,,,,,,,,______________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
